datetime,signal
2021-07-02_14:34:00,0
2021-07-02_14:35:00,2
2021-07-02_14:36:00,2
2021-07-02_14:37:00,2
2021-07-02_14:38:00,1
2021-07-02_14:39:00,1
2021-07-02_14:40:00,2
2021-07-02_14:41:00,1
2021-07-02_14:42:00,0
2021-07-02_14:43:00,2
2021-07-02_14:44:00,2
2021-07-02_14:45:00,1
2021-07-02_14:46:00,2
2021-07-02_14:47:00,0
2021-07-02_14:48:00,1
2021-07-02_14:49:00,0
2021-07-02_14:50:00,2
2021-07-02_14:51:00,0
2021-07-02_14:52:00,2
2021-07-02_14:53:00,1
2021-07-02_14:54:00,0
2021-07-02_14:55:00,2
2021-07-02_14:56:00,2
2021-07-02_14:57:00,2
2021-07-02_14:58:00,0
2021-07-02_14:59:00,0
2021-07-02_15:00:00,1
2021-07-05_13:31:00,1
2021-07-05_13:32:00,0
2021-07-05_13:33:00,0
2021-07-05_13:34:00,1
2021-07-05_13:35:00,2
2021-07-05_13:36:00,1
2021-07-05_13:37:00,0
2021-07-05_13:38:00,0
2021-07-05_13:39:00,2
2021-07-05_13:40:00,1
2021-07-05_13:41:00,1
2021-07-05_13:42:00,2
2021-07-05_13:43:00,0
2021-07-05_13:44:00,1
2021-07-05_13:45:00,1
2021-07-05_13:46:00,1
2021-07-05_13:47:00,0
2021-07-05_13:48:00,1
2021-07-05_13:49:00,1
2021-07-05_13:50:00,1
2021-07-05_13:51:00,1
2021-07-05_13:52:00,1
2021-07-05_13:53:00,1
2021-07-05_13:54:00,0
2021-07-05_13:55:00,2
2021-07-05_13:56:00,1
2021-07-05_13:57:00,1
2021-07-05_13:58:00,1
2021-07-05_13:59:00,1
2021-07-05_14:00:00,1
2021-07-05_14:01:00,0
2021-07-05_14:02:00,2
2021-07-05_14:03:00,2
2021-07-05_14:04:00,0
2021-07-05_14:05:00,1
2021-07-05_14:06:00,2
2021-07-05_14:07:00,0
2021-07-05_14:08:00,2
2021-07-05_14:09:00,2
2021-07-05_14:10:00,2
2021-07-05_14:11:00,1
2021-07-05_14:12:00,1
2021-07-05_14:13:00,1
2021-07-05_14:14:00,1
2021-07-05_14:15:00,2
2021-07-05_14:16:00,1
2021-07-05_14:17:00,2
2021-07-05_14:18:00,1
2021-07-05_14:19:00,1
2021-07-05_14:20:00,2
2021-07-05_14:21:00,0
2021-07-05_14:22:00,0
2021-07-05_14:23:00,1
2021-07-05_14:24:00,1
2021-07-05_14:25:00,1
2021-07-05_14:26:00,2
2021-07-05_14:27:00,2
2021-07-05_14:28:00,2
2021-07-05_14:29:00,2
2021-07-05_14:30:00,1
2021-07-05_14:31:00,0
2021-07-05_14:32:00,1
2021-07-05_14:33:00,2
2021-07-05_14:34:00,2
2021-07-05_14:35:00,1
2021-07-05_14:36:00,1
2021-07-05_14:37:00,1
2021-07-05_14:38:00,2
2021-07-05_14:39:00,0
2021-07-05_14:40:00,1
2021-07-05_14:41:00,0
2021-07-05_14:42:00,2
2021-07-05_14:43:00,1
2021-07-05_14:44:00,1
2021-07-05_14:45:00,1
2021-07-05_14:46:00,1
2021-07-05_14:47:00,2
2021-07-05_14:48:00,0
2021-07-05_14:49:00,2
2021-07-05_14:50:00,2
2021-07-05_14:51:00,0
2021-07-05_14:52:00,1
2021-07-05_14:53:00,0
2021-07-05_14:54:00,1
2021-07-05_14:55:00,0
2021-07-05_14:56:00,2
2021-07-05_14:57:00,0
2021-07-05_14:58:00,2
2021-07-05_14:59:00,2
2021-07-05_15:00:00,1
2021-06-30_21:01:00,2
2021-06-30_21:02:00,0
2021-06-30_21:03:00,1
2021-06-30_21:04:00,0
2021-06-30_21:05:00,0
2021-06-30_21:06:00,2
2021-06-30_21:07:00,0
2021-06-30_21:08:00,2
2021-06-30_21:09:00,1
2021-06-30_21:10:00,2
2021-06-30_21:11:00,2
2021-06-30_21:12:00,0
2021-06-30_21:13:00,2
2021-06-30_21:14:00,2
2021-06-30_21:15:00,0
2021-06-30_21:16:00,0
2021-06-30_21:17:00,0
2021-06-30_21:18:00,2
2021-06-30_21:19:00,1
2021-06-30_21:20:00,0
2021-06-30_21:21:00,1
2021-06-30_21:22:00,1
2021-06-30_21:23:00,2
2021-06-30_21:24:00,2
2021-06-30_21:25:00,1
2021-06-30_21:26:00,1
2021-06-30_21:27:00,0
2021-06-30_21:28:00,0
2021-06-30_21:29:00,1
2021-06-30_21:30:00,2
2021-06-30_21:31:00,1
2021-06-30_21:32:00,0
2021-06-30_21:33:00,1
2021-06-30_21:34:00,2
2021-06-30_21:35:00,2
2021-06-30_21:36:00,0
2021-06-30_21:37:00,2
2021-06-30_21:38:00,2
2021-06-30_21:39:00,1
2021-06-30_21:40:00,2
2021-06-30_21:41:00,1
