tradeDate,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,index_return_ic_win,index_return_if_win,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
2018-10-16,-28.925257499999997,-15.174174166666667,-0.0846658342933872,-0.058720292960875706,-0.023973207873748997,-0.008182496140899246,0.021117489013215585,-0.015464050485478574,0.03658153949869416,-0.025945541332511493,0.9636952066300531
2018-10-17,-28.165672500000003,-14.870868333333334,-0.0817703207387111,-0.05722781423648286,0.008186570346132958,0.0055545692648370695,0.043477956716571016,-0.009163963368179096,0.05264192008475011,-0.024542506502228237,0.9635695489660301
2018-10-18,-27.677551666666666,-14.517014166666666,-0.08265119082641928,-0.05722133727991253,-0.028197155335951834,-0.023969616522507044,0.04297226924524989,-0.00755452086557907,0.05052679011082896,-0.025429853546506752,0.963551808706009
2018-10-19,-27.701425833333335,-14.3905125,-0.08052768549036052,-0.05508425904054792,0.02689039830101855,0.029310645626263784,0.0645825139979571,0.007654495901008397,0.0569280180969487,-0.025443426449812595,0.963986898292168
2018-10-22,-27.62769083333333,-14.172050833333333,-0.07651078564308204,-0.05200318126326571,0.04850399956954693,0.042261739256125835,0.051778237849810116,-0.002221035939111403,0.05399927378892152,-0.024507604379816333,0.9643952522685402
2018-10-23,-27.762141666666665,-14.109752500000003,-0.07832168946825457,-0.053187052551595615,-0.018538128435665848,-0.026915647709496032,0.0008612204348531285,-0.04427138384764448,0.04513260428249761,-0.02513463691665896,0.9646087698423259
2018-10-24,-27.92807333333333,-13.958983333333334,-0.0789395349661066,-0.05253989882321754,-0.0018984963364276114,0.0014991776887575102,0.01172691194978763,-0.02287969595546311,0.03460660790525074,-0.026399636142889066,0.9649502952365951
2018-10-25,-28.105050000000002,-13.790915833333335,-0.07964739829352814,-0.05180808152400064,-0.002610312451058687,0.0019135423750204369,0.02381567990432507,-0.006301693676746323,0.030117373581071392,-0.0278393167695275,0.9644637993227554
2018-10-26,-28.408676666666665,-13.815823333333334,-0.08051664181403761,-0.052239744015931254,-0.00010918263910529294,-0.006492982531994522,0.03234752873697939,-0.0027185204927671494,0.035066049229746536,-0.02827689779810636,0.9635448629355932
2018-10-29,-28.578007500000002,-13.756563333333334,-0.0823865439382894,-0.05365119293062548,-0.017015389644667374,-0.03095862955146051,0.01739483592392364,-0.009598975047285217,0.026993810971208856,-0.028735351007663917,0.9619026218911578
2018-10-30,-28.6234075,-13.640416666666669,-0.08169281156493985,-0.052627424616041016,0.010043483259389805,0.010787495650464536,0.03613398638863946,0.020639168603485185,0.015494817785154276,-0.029065386948898833,0.9600820604545509
2018-10-31,-28.801831666666665,-13.605714166666669,-0.08089357278242945,-0.051768456661206844,0.01604579530995143,0.013909009841423929,0.03128713552967719,0.015479930544089342,0.01580720498558785,-0.029125116121222608,0.9579380496253014
2018-11-01,-29.01324333333333,-13.637023333333333,-0.080986331723007,-0.051508510863183136,0.00616738594425459,0.007332499615765938,0.010683359605921577,0.00967024996152045,0.001013109644401126,-0.02947782085982386,0.9554812605012265
2018-11-02,-29.0291825,-13.478942499999999,-0.07849356918660742,-0.049159647813514215,0.03181292073398387,0.03501418785576726,0.001913945610403667,0.002120453507196624,-0.00020650789679295704,-0.029333921373093208,0.9533506641021315
2018-11-05,-29.214647499999998,-13.520430833333334,-0.07894379547378941,-0.04972521289843916,0.0006491437727253372,-0.008365702036225015,-0.04226426871624631,-0.029697587534566368,-0.012566681181679945,-0.029218582575350246,0.9510937857412766
2018-11-06,-29.379264999999997,-13.533031666666668,-0.07943747505264925,-0.05007365060837142,-0.0006151421313825228,-0.006051276956503466,-0.05299250762218439,-0.029343587126529215,-0.023648920495655174,-0.029363824444277833,0.9486574480601894
2018-11-07,-29.710780833333335,-13.619838333333336,-0.08075161671124059,-0.05072707025562259,-0.005186930644348177,-0.006570820620157931,-0.06075824236031452,-0.012884179686805256,-0.047874062673509264,-0.030024546455618,0.9457718333851113
