tradeDate,ticker_ic,secID_ic,secShortName_ic,exchangeCD_ic,openPrice_ic,highestPrice_ic,lowestPrice_ic,closePrice_ic,indexID_ic,indexSymbol_ic,closeIndex_ic,basis_ic,ticker_if,secID_if,secShortName_if,exchangeCD_if,openPrice_if,highestPrice_if,lowestPrice_if,closePrice_if,indexID_if,indexSymbol_if,closeIndex_if,basis_if,ticker,secID,secShortName,exchangeCD,openPrice,highestPrice,lowestPrice,closePrice,indexID,indexSymbol,closeIndex,basis
2018-04-12,IC1804,IC1804.CCFX,中证1804,CCFX,6047.4,6083.8,6003.2,6022.8,2103,000905,6051.3346,-28.5346,IF1804,IF1804.CCFX,沪深1804,CCFX,3942.0,3942.0,3887.6,3892.4,1782,000300,3898.6354,-6.2354,IH1804,IH1804.CCFX,上证1804,CCFX,2786.0,2786.0,2745.0,2747.2,28,000016,2749.6986,-2.4986
2018-04-13,IC1804,IC1804.CCFX,中证1804,CCFX,6060.2,6080.0,5982.6,6010.0,2103,000905,6027.1867,-17.1867,IF1804,IF1804.CCFX,沪深1804,CCFX,3915.0,3924.8,3853.2,3860.4,1782,000300,3871.1443,-10.7443,IH1804,IH1804.CCFX,上证1804,CCFX,2762.8,2769.2,2715.2,2720.8,28,000016,2726.3956,-5.5956
2018-04-16,IC1804,IC1804.CCFX,中证1804,CCFX,6018.8,6052.2,5934.0,5989.0,2103,000905,6012.4053,-23.4053,IF1804,IF1804.CCFX,沪深1804,CCFX,3858.2,3868.8,3783.2,3796.6,1782,000300,3808.863,-12.263,IH1804,IH1804.CCFX,上证1804,CCFX,2719.2,2723.6,2653.6,2653.6,28,000016,2664.7045,-11.1045
2018-04-17,IC1804,IC1804.CCFX,中证1804,CCFX,6008.8,6028.8,5856.4,5888.0,2103,000905,5890.8571,-2.8571,IF1804,IF1804.CCFX,沪深1804,CCFX,3808.0,3817.6,3731.6,3738.8,1782,000300,3748.6412,-9.8412,IH1804,IH1804.CCFX,上证1804,CCFX,2663.2,2687.6,2625.0,2633.2,28,000016,2635.7032,-2.5032
2018-04-18,IC1804,IC1804.CCFX,中证1804,CCFX,5936.6,5996.2,5812.2,5951.0,2103,000905,5970.6577,-19.6577,IF1804,IF1804.CCFX,沪深1804,CCFX,3779.8,3782.8,3710.0,3754.0,1782,000300,3766.282,-12.282,IH1804,IH1804.CCFX,上证1804,CCFX,2666.0,2666.0,2626.8,2649.2,28,000016,2653.7691,-4.5691
2018-04-19,IC1806,IC1806.CCFX,中证1806,CCFX,5890.0,5965.0,5854.8,5900.8,2103,000905,6004.7334,-103.9334,IF1806,IF1806.CCFX,沪深1806,CCFX,3729.0,3788.0,3729.0,3778.2,1782,000300,3811.843,-33.643,IH1804,IH1804.CCFX,上证1804,CCFX,2662.6,2697.2,2654.0,2684.4,28,000016,2682.5518,1.8482
2018-04-20,IC1805,IC1805.CCFX,中证1805,CCFX,5939.8,5950.4,5802.0,5837.0,2103,000905,5880.8359,-43.8359,IF1805,IF1805.CCFX,沪深1805,CCFX,3790.8,3796.8,3723.2,3732.6,1782,000300,3760.8543,-28.2543,IH1805,IH1805.CCFX,上证1805,CCFX,2676.4,2681.0,2625.0,2636.2,28,000016,2647.3763,-11.1763
2018-04-23,IC1805,IC1805.CCFX,中证1805,CCFX,5852.2,5881.6,5692.0,5779.2,2103,000905,5823.9205,-44.7205,IF1805,IF1805.CCFX,沪深1805,CCFX,3733.8,3779.4,3712.2,3748.0,1782,000300,3766.3257,-18.3257,IH1805,IH1805.CCFX,上证1805,CCFX,2637.6,2675.0,2632.6,2665.0,28,000016,2664.9175,0.0825
2018-04-24,IC1805,IC1805.CCFX,中证1805,CCFX,5781.4,5935.8,5781.4,5913.2,2103,000905,5957.1927,-43.9927,IF1805,IF1805.CCFX,沪深1805,CCFX,3760.0,3846.0,3760.0,3835.4,1782,000300,3843.4886,-8.0886,IH1805,IH1805.CCFX,上证1805,CCFX,2676.8,2743.0,2674.0,2729.0,28,000016,2722.8474,6.1526
2018-04-25,IC1805,IC1805.CCFX,中证1805,CCFX,5895.0,5933.0,5882.2,5913.0,2103,000905,5959.422,-46.422,IF1805,IF1805.CCFX,沪深1805,CCFX,3822.4,3831.8,3806.4,3818.0,1782,000300,3828.7015,-10.7015,IH1805,IH1805.CCFX,上证1805,CCFX,2717.0,2725.2,2700.6,2707.2,28,000016,2702.9802,4.2198
2018-04-26,IC1805,IC1805.CCFX,中证1805,CCFX,5908.0,5928.4,5796.0,5806.4,2103,000905,5847.9766,-41.5766,IF1805,IF1805.CCFX,沪深1805,CCFX,3821.0,3833.4,3728.0,3735.4,1782,000300,3755.4941,-20.0941,IH1805,IH1805.CCFX,上证1805,CCFX,2720.0,2727.0,2653.2,2666.6,28,000016,2666.0239,0.5761
2018-04-27,IC1805,IC1805.CCFX,中证1805,CCFX,5836.0,5855.6,5769.2,5852.2,2103,000905,5860.9836,-8.7836,IF1805,IF1805.CCFX,沪深1805,CCFX,3755.0,3759.6,3703.6,3746.0,1782,000300,3756.8765,-10.8765,IH1805,IH1805.CCFX,上证1805,CCFX,2679.2,2680.0,2614.6,2654.0,28,000016,2653.5436,0.4564
2018-05-02,IC1805,IC1805.CCFX,中证1805,CCFX,5860.2,5887.4,5781.0,5827.8,2103,000905,5855.3233,-27.5233,IF1805,IF1805.CCFX,沪深1805,CCFX,3768.0,3785.4,3730.8,3758.8,1782,000300,3763.6461,-4.8461,IH1805,IH1805.CCFX,上证1805,CCFX,2671.0,2677.0,2640.0,2659.6,28,000016,2652.7311,6.8689
2018-05-03,IC1805,IC1805.CCFX,中证1805,CCFX,5815.0,5919.4,5744.0,5892.4,2103,000905,5910.6058,-18.2058,IF1805,IF1805.CCFX,沪深1805,CCFX,3748.0,3803.2,3724.6,3786.0,1782,000300,3793.0001,-7.0001,IH1805,IH1805.CCFX,上证1805,CCFX,2649.4,2680.0,2629.2,2665.0,28,000016,2663.9752,1.0248
2018-05-04,IC1805,IC1805.CCFX,中证1805,CCFX,5887.2,5921.8,5861.4,5881.0,2103,000905,5909.2944,-28.2944,IF1805,IF1805.CCFX,沪深1805,CCFX,3785.0,3797.0,3756.0,3763.4,1782,000300,3774.5981,-11.1981,IH1805,IH1805.CCFX,上证1805,CCFX,2666.8,2674.4,2642.2,2643.0,28,000016,2646.3548,-3.3548
2018-05-07,IC1805,IC1805.CCFX,中证1805,CCFX,5911.0,6024.6,5891.2,6001.0,2103,000905,6019.1409,-18.1409,IF1805,IF1805.CCFX,沪深1805,CCFX,3787.8,3834.0,3763.6,3827.2,1782,000300,3834.1877,-6.9877,IH1805,IH1805.CCFX,上证1805,CCFX,2653.6,2686.8,2635.2,2682.0,28,000016,2683.8487,-1.8487
2018-05-08,IC1805,IC1805.CCFX,中证1805,CCFX,6018.0,6033.8,5992.4,6028.6,2103,000905,6041.8143,-13.2143,IF1805,IF1805.CCFX,沪深1805,CCFX,3838.0,3892.6,3830.4,3880.0,1782,000300,3878.6767,1.3233,IH1805,IH1805.CCFX,上证1805,CCFX,2687.0,2737.2,2683.2,2724.2,28,000016,2722.88,1.32
2018-05-09,IC1805,IC1805.CCFX,中证1805,CCFX,6027.6,6041.8,5983.0,6011.0,2103,000905,6029.2329,-18.2329,IF1805,IF1805.CCFX,沪深1805,CCFX,3879.0,3882.4,3852.4,3869.0,1782,000300,3871.6152,-2.6152,IH1805,IH1805.CCFX,上证1805,CCFX,2726.2,2728.6,2706.6,2718.6,28,000016,2717.2393,1.3607
2018-05-10,IC1805,IC1805.CCFX,中证1805,CCFX,6020.0,6054.0,5973.8,6036.4,2103,000905,6040.5716,-4.1716,IF1805,IF1805.CCFX,沪深1805,CCFX,3886.2,3900.0,3862.2,3897.8,1782,000300,3893.0565,4.7435,IH1805,IH1805.CCFX,上证1805,CCFX,2731.2,2747.2,2713.4,2734.2,28,000016,2729.4001,4.7999
2018-05-11,IC1805,IC1805.CCFX,中证1805,CCFX,6039.6,6047.4,5980.6,5993.0,2103,000905,5991.3424,1.6576,IF1805,IF1805.CCFX,沪深1805,CCFX,3909.0,3909.6,3872.8,3876.2,1782,000300,3872.8383,3.3617,IH1805,IH1805.CCFX,上证1805,CCFX,2743.2,2746.0,2723.6,2728.6,28,000016,2724.7162,3.8838
2018-05-14,IC1805,IC1805.CCFX,中证1805,CCFX,5999.0,6020.2,5939.8,5964.0,2103,000905,5967.5541,-3.5541,IF1805,IF1805.CCFX,沪深1805,CCFX,3892.0,3926.6,3889.4,3912.2,1782,000300,3909.2933,2.9067,IH1805,IH1805.CCFX,上证1805,CCFX,2744.4,2765.0,2737.2,2756.0,28,000016,2753.5353,2.4647
2018-05-15,IC1805,IC1805.CCFX,中证1805,CCFX,5976.6,6026.2,5948.8,6020.0,2103,000905,6020.5697,-0.5697,IF1805,IF1805.CCFX,沪深1805,CCFX,3923.8,3925.8,3891.0,3924.6,1782,000300,3924.0975,0.5025,IH1805,IH1805.CCFX,上证1805,CCFX,2761.8,2762.8,2730.4,2750.0,28,000016,2750.8309,-0.8309
2018-05-16,IC1805,IC1805.CCFX,中证1805,CCFX,6018.6,6046.8,5993.8,6012.6,2103,000905,6004.0696,8.5304,IF1805,IF1805.CCFX,沪深1805,CCFX,3913.6,3924.0,3885.4,3894.6,1782,000300,3892.8442,1.7558,IH1806,IH1806.CCFX,上证1806,CCFX,2734.6,2736.8,2700.0,2704.8,28,000016,2716.7818,-11.9818
