,unit,exchangeCD,currencyCD,barTime,dataDate,clearingDay,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue,openInterest,ticker
35,1,XDCE,CNY,21:35,2021-03-31,2021-04-01,3408,3411,3411,3405,7820,266506360,1363255,M2109
36,1,XDCE,CNY,21:36,2021-03-31,2021-04-01,3415,3408,3417,3408,9465,323055100,1363678,M2109
37,1,XDCE,CNY,21:37,2021-03-31,2021-04-01,3412,3415,3417,3412,6230,212714960,1365027,M2109
38,1,XDCE,CNY,21:38,2021-03-31,2021-04-01,3412,3413,3415,3412,4587,156574710,1365348,M2109
39,1,XDCE,CNY,21:39,2021-03-31,2021-04-01,3412,3413,3415,3412,4190,143003280,1367025,M2109
40,1,XDCE,CNY,21:40,2021-03-31,2021-04-01,3413,3412,3413,3410,4943,168650260,1368033,M2109
41,1,XDCE,CNY,21:41,2021-03-31,2021-04-01,3413,3413,3415,3412,3733,127415070,1368441,M2109
42,1,XDCE,CNY,21:42,2021-03-31,2021-04-01,3411,3414,3415,3411,3897,133014550,1369242,M2109
43,1,XDCE,CNY,21:43,2021-03-31,2021-04-01,3411,3412,3413,3410,4887,166718420,1369278,M2109
44,1,XDCE,CNY,21:44,2021-03-31,2021-04-01,3409,3411,3412,3408,3542,120761310,1369952,M2109
45,1,XDCE,CNY,21:45,2021-03-31,2021-04-01,3407,3409,3410,3406,3575,121831870,1370404,M2109
46,1,XDCE,CNY,21:46,2021-03-31,2021-04-01,3409,3407,3411,3407,3266,111344960,1370935,M2109
47,1,XDCE,CNY,21:47,2021-03-31,2021-04-01,3409,3409,3409,3406,2992,101957610,1371149,M2109
48,1,XDCE,CNY,21:48,2021-03-31,2021-04-01,3407,3409,3410,3406,2909,99135600,1371179,M2109
49,1,XDCE,CNY,21:49,2021-03-31,2021-04-01,3409,3407,3410,3407,3456,117800630,1371273,M2109
50,1,XDCE,CNY,21:50,2021-03-31,2021-04-01,3409,3409,3411,3408,3720,126829790,1371619,M2109
51,1,XDCE,CNY,21:51,2021-03-31,2021-04-01,3409,3410,3411,3408,5223,178089380,1371458,M2109
52,1,XDCE,CNY,21:52,2021-03-31,2021-04-01,3409,3409,3411,3409,3127,106640300,1371711,M2109
53,1,XDCE,CNY,21:53,2021-03-31,2021-04-01,3409,3411,3411,3409,1125,38360940,1371701,M2109
54,1,XDCE,CNY,21:54,2021-03-31,2021-04-01,3412,3409,3414,3408,5412,184658510,1371890,M2109
55,1,XDCE,CNY,21:55,2021-03-31,2021-04-01,3412,3412,3414,3411,4425,150996540,1372503,M2109
56,1,XDCE,CNY,21:56,2021-03-31,2021-04-01,3412,3413,3413,3410,3652,124577410,1372709,M2109
57,1,XDCE,CNY,21:57,2021-03-31,2021-04-01,3412,3413,3414,3411,1425,48630090,1372829,M2109
58,1,XDCE,CNY,21:58,2021-03-31,2021-04-01,3412,3413,3413,3410,1537,52435040,1372817,M2109
59,1,XDCE,CNY,21:59,2021-03-31,2021-04-01,3410,3411,3412,3410,1227,41849590,1373014,M2109
60,1,XDCE,CNY,22:00,2021-03-31,2021-04-01,3410,3410,3411,3409,1972,67252150,1373615,M2109
61,1,XDCE,CNY,22:01,2021-03-31,2021-04-01,3412,3410,3413,3410,2631,89758010,1373591,M2109
62,1,XDCE,CNY,22:02,2021-03-31,2021-04-01,3411,3412,3413,3411,1704,58132320,1374065,M2109
63,1,XDCE,CNY,22:03,2021-03-31,2021-04-01,3413,3412,3414,3412,3562,121572020,1373436,M2109
64,1,XDCE,CNY,22:04,2021-03-31,2021-04-01,3414,3413,3414,3411,2691,91825150,1373751,M2109
65,1,XDCE,CNY,22:05,2021-03-31,2021-04-01,3413,3413,3414,3412,1925,65707690,1374381,M2109
66,1,XDCE,CNY,22:06,2021-03-31,2021-04-01,3413,3413,3414,3412,1712,58432950,1374474,M2109
67,1,XDCE,CNY,22:07,2021-03-31,2021-04-01,3413,3413,3414,3412,2003,68358810,1374733,M2109
68,1,XDCE,CNY,22:08,2021-03-31,2021-04-01,3414,3412,3415,3412,2158,73664610,1375222,M2109
69,1,XDCE,CNY,22:09,2021-03-31,2021-04-01,3413,3414,3415,3412,1004,34272000,1375393,M2109
70,1,XDCE,CNY,22:10,2021-03-31,2021-04-01,3411,3413,3413,3410,1845,62937720,1375730,M2109
71,1,XDCE,CNY,22:11,2021-03-31,2021-04-01,3411,3411,3412,3410,1422,48509060,1376003,M2109
72,1,XDCE,CNY,22:12,2021-03-31,2021-04-01,3412,3410,3413,3410,1245,42474510,1376045,M2109
73,1,XDCE,CNY,22:13,2021-03-31,2021-04-01,3412,3412,3414,3411,1621,55317010,1376346,M2109
74,1,XDCE,CNY,22:14,2021-03-31,2021-04-01,3413,3412,3414,3412,1593,54368410,1376623,M2109
75,1,XDCE,CNY,22:15,2021-03-31,2021-04-01,3417,3414,3417,3413,3773,128843630,1376945,M2109
76,1,XDCE,CNY,22:16,2021-03-31,2021-04-01,3414,3417,3418,3414,2877,98282850,1378031,M2109
77,1,XDCE,CNY,22:17,2021-03-31,2021-04-01,3412,3414,3415,3412,1543,52664240,1378343,M2109
78,1,XDCE,CNY,22:18,2021-03-31,2021-04-01,3411,3412,3413,3411,1326,45244500,1378340,M2109
79,1,XDCE,CNY,22:19,2021-03-31,2021-04-01,3411,3412,3413,3411,1006,34324770,1378543,M2109
80,1,XDCE,CNY,22:20,2021-03-31,2021-04-01,3412,3412,3413,3411,3115,106294770,1378583,M2109
81,1,XDCE,CNY,22:21,2021-03-31,2021-04-01,3412,3413,3414,3411,1527,52109270,1378991,M2109
82,1,XDCE,CNY,22:22,2021-03-31,2021-04-01,3413,3412,3414,3411,1290,44024750,1379089,M2109
83,1,XDCE,CNY,22:23,2021-03-31,2021-04-01,3412,3413,3413,3411,1181,40298430,1379394,M2109
84,1,XDCE,CNY,22:24,2021-03-31,2021-04-01,3413,3412,3413,3411,1747,59613950,1379741,M2109
85,1,XDCE,CNY,22:25,2021-03-31,2021-04-01,3413,3412,3414,3412,845,28841520,1380033,M2109
86,1,XDCE,CNY,22:26,2021-03-31,2021-04-01,3415,3413,3415,3413,3860,131801620,1381258,M2109
87,1,XDCE,CNY,22:27,2021-03-31,2021-04-01,3414,3415,3415,3413,1872,63913470,1381309,M2109
88,1,XDCE,CNY,22:28,2021-03-31,2021-04-01,3413,3414,3415,3412,2038,69562040,1381523,M2109
89,1,XDCE,CNY,22:29,2021-03-31,2021-04-01,3411,3413,3413,3410,1335,45552130,1381509,M2109
90,1,XDCE,CNY,22:30,2021-03-31,2021-04-01,3414,3411,3415,3411,2078,70926430,1381666,M2109
91,1,XDCE,CNY,22:31,2021-03-31,2021-04-01,3416,3413,3417,3413,4656,159037000,1382025,M2109
92,1,XDCE,CNY,22:32,2021-03-31,2021-04-01,3414,3416,3417,3412,5174,176616370,1383354,M2109
93,1,XDCE,CNY,22:33,2021-03-31,2021-04-01,3414,3414,3415,3413,1167,39842350,1383505,M2109
94,1,XDCE,CNY,22:34,2021-03-31,2021-04-01,3413,3414,3414,3412,1399,47750950,1383309,M2109
